monitor; metric; value; unit
host; idleTime; 521611; seconds
host; activeTime; 183980; seconds
host; stealTime; 2240036; seconds
host; lostTime; 0; seconds
host; energyUsage; [60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60175.92, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60703.35000000002, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 102164.25, 60000.0, 105000.0, 105000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 105000.0, 105000.0, 105000.0, 105000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 105000.0, 105000.0, 105000.0, 105000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 105000.0, 105000.0, 105000.0, 105000.0, 60000.0, 60000.0, 60000.0, 71826.12, 60000.0, 105000.0, 105000.0, 105000.0, 105000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 105000.0, 105000.0, 64552.20000000007, 73409.09999999998, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 102806.54999999993, 77060.54999999993, 97078.79999999993, 105000.0, 105000.0, 88902.0, 94128.90000000002, 80682.75, 98196.90000000002, 93254.69999999995, 85062.15000000002, 60000.0, 67418.84999999998, 65440.5, 60000.0, 60000.0, 60000.0, 60000.0, 60000.00000000012, 60000.0, 60234.56999999995, 60000.0, 60000.0, 61024.0199999999, 61024.0199999999, 60000.0, 64095.75, 60000.0, 60000.0, 59999.99999999988, 60000.0, 60384.119999999995, 60000.0, 60384.119999999995, 60384.119999999995, 60000.0, 60175.919999999925, 92812.62000000011, 60000.0, 60000.0, 64095.71999999997, 60000.0, 60000.0, 60384.119999999995, 60000.0, 105000.0, 60000.0, 60000.0, 101058.30000000028, 60000.0, 60000.0, 60000.0, 105000.0, 60000.0, 105000.0, 60000.0, 60000.0, 60000.0, 59999.99999999988, 60000.00000000012, 60000.00000000012, 104999.99999999988, 59999.99999999988, 105000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 105000.0, 60000.0, 92225.09999999986, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 105000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 105000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 60000.0, 66501.90000000014, 60000.0, 60000.0, 60000.0]; J per cycle
host; powerUsage; [200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 350.0, 350.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 350.0, 350.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 350.0, 350.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 350.0, 350.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 200.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 200.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 350.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]; W per cycle
host; uptime; 56700000; ms
host; downtime; 0; ms
host; cpuLimit; 7254240.0; MHz
host; cpuDemand; 2.106168E7; MHz
