monitor; metric; value; unit
host; idleTime; 27300118; seconds
host; activeTime; 11440674; seconds
host; stealTime; 52592015673; seconds
host; lostTime; 0; seconds
